county,state,fips,2015,2016,2017,2018
Issaquena,mississippi,28055,17028,17515,17841,18356
Petroleum,montana,30069,50504,32989,24231,22506
Blaine,nebraska,31009,60083,55222,41500,23606
Robertson,kentucky,21201,24690,26076,25335,25531
Golden Valley,montana,30037,32759,27526,29535,26293
Yakutat City and Borough,alaska,2282,34590,28345,27057,28420
Arthur,nebraska,31005,30152,20816,18114,29322
Mellette,south dakota,46095,37229,39070,33136,33186
McPherson,nebraska,31117,52178,49835,46444,34887
Logan,nebraska,31113,60383,54894,37798,35375
Grant,nebraska,31075,57764,46837,31715,36280
Loup,nebraska,31115,65587,73254,54108,36407
Prairie,montana,30079,43379,34471,33134,36443
Sheridan,north dakota,38083,71139,71000,47473,40615
Taliaferro,georgia,13265,38740,40701,38626,40876
Hayes,nebraska,31085,89391,73123,43700,41260
Motley,texas,48345,43182,39311,39910,41500
Clark,idaho,16033,38743,40432,42709,41594
Glascock,georgia,13125,44815,45753,43859,44217
San Juan,colorado,8111,49355,41257,44580,44681
Foard,texas,48155,45757,43240,46113,48701
Echols,georgia,13101,49910,50034,48503,48865
Quitman,georgia,13239,44123,44573,46565,49138
DeBaca,new mexico,35011,50732,53641,50587,50467
Piute,utah,49031,37202,43413,45451,51398
Owsley,kentucky,21189,51530,51987,51191,51822
Hinsdale,colorado,8053,48200,47982,52284,52699
Hooker,nebraska,31091,75097,75226,58222,53424
Armstrong,texas,48011,55922,48598,51314,53869
Camas,idaho,16025,59369,51702,53965,54147
Thomas,nebraska,31171,77865,71486,60583,54706
Garfield,montana,30033,103073,81656,62067,55437
Slope,north dakota,38087,100784,75565,49973,57324
Wirt,west virginia,54105,59799,58728,55636,58143
Ziebach,south dakota,46137,89094,75341,68812,62201
Keweenaw,michigan,26083,54810,58432,60941,62345
Garden,nebraska,31069,68321,69790,66687,62411
Wheeler,oregon,41069,56515,53876,59032,64113
Menard,texas,48327,79642,71076,64680,65819
Sioux,nebraska,31165,122818,141509,88808,67340
Bennett,south dakota,46007,79871,71759,67769,68067
Webster,georgia,13307,57433,60564,65796,68097
Banner,nebraska,31007,73856,88082,41614,68444
